iter	Logloss
0	0.634627489
1	0.6066360544
2	0.5855165126
3	0.5712665567
4	0.561814985
5	0.5549245489
6	0.5505107011
7	0.5474572086
8	0.5444204503
9	0.5412053299
10	0.5389657211
11	0.5367301092
12	0.5353494075
13	0.5336367325
14	0.5324719835
15	0.5312273301
16	0.5302403717
17	0.5290389155
18	0.5278108668
19	0.5266190401
20	0.5255179755
21	0.524214491
22	0.5232512076
23	0.5224953444
24	0.5213343231
25	0.5201958927
26	0.5187262823
27	0.5174696811
28	0.5163000775
29	0.5156845777
30	0.5146644394
31	0.5132824556
32	0.5124876362
33	0.511945731
34	0.5108585825
35	0.5097352352
36	0.5085219293
37	0.5073695857
38	0.506289429
39	0.5053438288
40	0.5040367626
41	0.5026339258
42	0.5007415332
43	0.4995646536
44	0.4980501784
45	0.4967309286
46	0.4950429362
47	0.4937584059
48	0.4927978292
49	0.491956454
50	0.4909578839
51	0.4899021108
52	0.4883257639
53	0.4874791668
54	0.4859875486
55	0.48489143
56	0.4832839883
57	0.4823218904
58	0.4810017477
59	0.4798666171
60	0.4786340857
61	0.4775093684
62	0.4765049756
63	0.4757497823
64	0.4748560538
65	0.4735490306
66	0.4725134497
67	0.4712338416
68	0.4701196134
69	0.4690088013
70	0.468081377
71	0.4670252833
72	0.4660651445
73	0.4650264594
74	0.4641602818
75	0.4628360336
76	0.461788342
77	0.4609396469
78	0.4599912522
79	0.4592720041
80	0.458705205
81	0.4575039138
82	0.4566018621
83	0.455897713
84	0.4549819675
85	0.4538685233
86	0.4529883106
87	0.4519152786
88	0.4507773251
89	0.4502276707
90	0.4496085386
91	0.4485947238
92	0.4477304075
93	0.4472511985
94	0.4464636474
95	0.4451382476
96	0.4440732977
97	0.4432200265
98	0.4421454486
99	0.4415215325
100	0.4404615929
101	0.4399709058
102	0.4392464395
103	0.4384933846
104	0.4375474421
105	0.4370269447
106	0.4360987376
107	0.4352337943
108	0.4345378302
109	0.4338333427
110	0.4333636428
111	0.4328624587
112	0.4317176189
113	0.4307434541
114	0.4300495617
115	0.4299330231
116	0.4295294329
117	0.4284298839
118	0.4280192555
119	0.4272157201
120	0.4266119535
121	0.4255964976
122	0.4249946282
123	0.4241155545
124	0.4229894565
125	0.4221218905
126	0.4213618728
127	0.4205627556
128	0.4198328543
129	0.4192098189
130	0.4185000888
131	0.4179206926
132	0.4170546755
133	0.4160351946
134	0.4152449405
135	0.4148886367
136	0.4139531713
137	0.4132817483
138	0.4123753756
139	0.4117351783
140	0.4110130194
141	0.4104956231
142	0.4097137728
143	0.4087659788
144	0.407829397
145	0.4071083046
146	0.4063132494
147	0.4054351159
148	0.4045844375
149	0.4039943263
